City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Ketchikan,US,2021-05-23 03:08:17,55.3422,-131.6461,52.27,82,90,4.61
145,Pevek,RU,2021-05-23 03:08:17,69.7008,170.3133,31.53,86,100,3.06
146,Champerico,GT,2021-05-23 03:08:18,14.3,-91.9167,85.35,76,2,6.6
147,Suda,RU,2021-05-23 03:08:18,59.1525,37.5582,48.31,93,40,5.39
148,Guerrero,MX,2021-05-23 03:06:01,17.6667,-100.0,73.78,62,67,5.73
149,Invermere,CA,2021-05-23 03:08:19,50.5167,-116.0354,57.85,45,3,4.16
150,Nizwa,OM,2021-05-23 03:08:19,22.9333,57.5333,91.74,21,0,3.47
151,Touros,BR,2021-05-23 03:08:20,-5.1989,-35.4608,76.1,82,5,12.15
152,Saint-Pierre,RE,2021-05-23 03:08:20,-21.3393,55.4781,67.68,67,90,9.22
153,Sept-Iles,CA,2021-05-23 03:07:11,50.2001,-66.3821,59.52,100,75,0.0
154,Kampot,KH,2021-05-23 03:08:21,10.6167,104.1833,77.05,78,100,15.57
155,Ribeira Grande,PT,2021-05-23 03:08:21,38.5167,-28.7,59.02,63,18,6.55
156,Airai,TL,2021-05-23 03:08:21,-8.9266,125.4092,74.53,45,32,3.15
157,Berlevag,NO,2021-05-23 03:08:22,70.8578,29.0864,34.36,58,100,14.43
158,Weligama,LK,2021-05-23 03:08:22,5.9667,80.4167,82.38,82,100,12.21
159,Sambir,UA,2021-05-23 03:08:23,49.5183,23.1975,45.34,82,5,8.28
160,Biltine,TD,2021-05-23 03:08:23,14.5333,20.9167,81.81,12,56,10.13
161,Tromso,NO,2021-05-23 03:08:23,69.6496,18.957,36.37,48,20,6.91
162,Bambanglipuro,ID,2021-05-23 03:08:24,-7.95,110.2833,84.11,69,100,4.07
163,Adrar,MR,2021-05-23 03:08:24,20.5022,-10.0711,85.06,23,1,4.16
164,Siavonga,ZM,2021-05-23 03:08:24,-16.5382,28.7088,63.16,63,20,2.95
165,Saint-Louis,SN,2021-05-23 03:08:25,16.3333,-15.0,69.37,67,3,10.18
166,Avera,US,2021-05-23 03:08:25,33.194,-82.5271,72.72,60,100,4.65
167,Celestun,MX,2021-05-23 03:08:25,20.8667,-90.4,77.77,85,79,10.02
168,San Quintin,MX,2021-05-23 03:08:26,30.4833,-115.95,57.31,74,0,18.9
169,Ust-Karsk,RU,2021-05-23 03:08:26,52.7011,118.8077,37.65,99,100,9.31
170,Merauke,ID,2021-05-23 03:08:26,-8.4667,140.3333,81.37,81,100,13.91
171,Christchurch,NZ,2021-05-23 03:06:40,-43.5333,172.6333,58.03,77,69,4.0
172,Usinsk,RU,2021-05-23 03:08:27,65.9939,57.5281,56.86,50,4,19.35
173,Acapulco,MX,2021-05-23 03:08:05,16.8634,-99.8901,81.95,65,19,4.32
174,Hermanus,ZA,2021-05-23 03:08:27,-34.4187,19.2345,55.9,55,9,7.29
175,Kodiak,US,2021-05-23 03:08:28,57.79,-152.4072,51.31,71,1,6.91
176,San Borja,BO,2021-05-23 03:08:28,-14.8167,-66.85,73.81,95,71,2.1
177,Kichera,RU,2021-05-23 03:08:29,55.9375,110.0997,50.43,34,100,10.07
178,Lagoa,PT,2021-05-23 03:08:29,39.05,-27.9833,58.21,63,8,7.29
179,Klaksvik,FO,2021-05-23 03:08:29,62.2266,-6.589,40.12,74,30,2.24
180,Rio Grande,BR,2021-05-23 03:08:30,-32.035,-52.0986,56.95,62,45,22.01
181,Korla,CN,2021-05-23 03:08:30,41.7597,86.1469,69.33,22,0,5.26
182,Tabou,CI,2021-05-23 03:08:30,4.423,-7.3528,79.54,82,100,7.45
183,Qaanaaq,GL,2021-05-23 03:08:31,77.484,-69.3632,21.13,80,100,3.91
184,Cayenne,GF,2021-05-23 03:08:31,4.9333,-52.3333,77.09,90,75,4.0
185,Waipawa,NZ,2021-05-23 03:08:31,-41.4122,175.5153,54.03,73,100,9.95
186,Viedma,AR,2021-05-23 03:08:32,-40.8135,-62.9967,51.21,77,100,7.72
187,Mabaruma,GY,2021-05-23 03:08:32,8.2,-59.7833,75.07,98,66,2.59
188,Copala,MX,2021-05-23 03:08:33,16.65,-98.9833,81.75,67,1,3.69
189,Dombas,NO,2021-05-23 03:08:33,62.0696,9.1235,38.91,96,62,5.41
190,Eureka,US,2021-05-23 03:08:34,40.8021,-124.1637,54.19,76,47,4.0
191,Andenes,NO,2021-05-23 03:08:37,69.3143,16.1194,35.58,60,2,19.57
192,Nemuro,JP,2021-05-23 03:08:37,43.3236,145.575,42.46,97,100,14.85
193,Kuytun,RU,2021-05-23 03:08:38,54.3419,101.5036,48.38,47,81,9.35
194,Sicuani,PE,2021-05-23 03:08:38,-14.2694,-71.2261,43.2,61,30,3.31
195,Necochea,AR,2021-05-23 03:08:38,-38.5473,-58.7368,55.04,86,100,27.36
196,Cidreira,BR,2021-05-23 03:08:39,-30.1811,-50.2056,58.44,78,0,13.47
197,Flinders,AU,2021-05-23 03:08:39,-34.5833,150.8552,70.18,67,9,5.01
198,Buraydah,SA,2021-05-23 03:08:40,26.326,43.975,84.09,19,74,9.26
199,Praia,CV,2021-05-23 03:08:40,14.9215,-23.5087,70.34,78,20,9.22
200,Vanino,RU,2021-05-23 03:08:40,49.0869,140.2543,55.17,63,2,8.72
201,Rawson,AR,2021-05-23 03:08:41,-43.3002,-65.1023,51.37,66,2,6.73
202,Uige,AO,2021-05-23 03:04:15,-7.6087,15.0613,63.41,70,79,1.7
203,Baykit,RU,2021-05-23 03:08:41,61.67,96.37,41.83,97,100,4.63
204,Norman Wells,CA,2021-05-23 03:08:42,65.282,-126.8329,53.67,72,100,10.38
205,Kupang,ID,2021-05-23 03:08:42,-10.1667,123.5833,88.38,55,40,8.05
206,Sawakin,SD,2021-05-23 03:08:42,19.1059,37.3321,81.91,56,0,8.77
207,Sabang,ID,2021-05-23 03:08:43,5.8933,95.3214,83.48,75,100,12.59
208,Mackay,AU,2021-05-23 03:08:43,-21.15,149.2,77.04,78,61,17.76
209,Markova,UA,2021-05-23 03:08:43,48.6758,24.4138,46.09,86,100,5.39
210,Katangli,RU,2021-05-23 03:08:44,51.7102,143.2326,46.06,77,15,8.14
211,Cabo San Lucas,MX,2021-05-23 03:08:44,22.8909,-109.9124,85.3,61,91,15.3
212,Avanigadda,IN,2021-05-23 03:08:44,16.0215,80.9181,82.54,60,100,0.96
213,Portland,US,2021-05-23 03:05:15,45.5234,-122.6762,65.73,63,75,5.99
214,Shemgang,BT,2021-05-23 03:08:45,27.2169,90.6579,72.61,58,0,5.39
215,Egvekinot,RU,2021-05-23 03:08:46,66.3167,-179.1667,29.39,98,96,1.86
216,Revelganj,IN,2021-05-23 03:08:46,25.7833,84.6667,85.91,38,81,5.55
