City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Port Alfred,ZA,-33.5906,26.891,61.16,86,76,7.99,broken clouds
197,Tourlaville,FR,49.6383,-1.5664,50.76,69,0,3.44,clear sky
198,Kupang,ID,-10.1667,123.5833,86.58,54,20,18.41,few clouds
199,Grand Gaube,MU,-20.0064,57.6608,72.0,84,8,8.23,clear sky
200,Mayumba,GA,-3.432,10.6554,77.54,91,100,6.35,overcast clouds
201,Farafangana,MG,-22.8167,47.8333,65.01,91,6,6.04,clear sky
202,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,90,9.22,overcast clouds
203,Baie-Comeau,CA,49.2168,-68.1489,57.2,94,90,5.21,overcast clouds
204,Avera,US,33.194,-82.5271,81.72,47,87,8.5,overcast clouds
205,Mareeba,AU,-17.0,145.4333,77.49,49,37,7.09,scattered clouds
206,Hay River,CA,60.8156,-115.7999,55.38,30,75,13.8,broken clouds
207,River Falls,US,44.8614,-92.6238,60.12,69,91,6.29,overcast clouds
208,Turbat,PK,26.0023,63.044,89.64,47,0,3.4,clear sky
209,Kahului,US,20.8947,-156.47,84.22,72,20,21.85,few clouds
210,Bluff,NZ,-46.6,168.3333,49.8,69,100,13.44,moderate rain
211,Bonnyville,CA,54.2668,-110.735,58.32,61,100,11.97,overcast clouds
212,Carnarvon,AU,-24.8667,113.6333,75.27,38,0,12.66,clear sky
213,Alice Springs,AU,-23.7,133.8833,58.55,44,1,19.66,clear sky
214,Hovd,MN,48.0056,91.6419,66.58,33,0,3.94,clear sky
215,Vanimo,PG,-2.6741,141.3028,86.85,63,38,4.23,scattered clouds
216,Outjo,NA,-20.1167,16.15,54.75,47,0,7.9,clear sky
217,Sakakah,SA,29.9697,40.2064,74.77,17,0,6.33,clear sky
218,Avesta,SE,60.1455,16.1679,45.39,94,100,10.22,overcast clouds
219,Norman Wells,CA,65.282,-126.8329,46.44,76,75,10.36,broken clouds
220,Sahy,SK,48.0741,18.9495,51.67,86,2,2.77,clear sky
221,Kochevo,RU,59.5994,54.3125,43.21,63,99,5.59,overcast clouds
222,Komsomolskiy,UZ,40.4272,71.7189,76.42,38,15,3.24,few clouds
223,Urengoy,RU,65.9667,78.3667,35.74,54,100,13.13,overcast clouds
224,Ostrovskoye,RU,57.8057,42.2433,51.33,76,98,8.52,light rain
225,Green River,US,41.5286,-109.4662,59.4,31,44,19.48,scattered clouds
226,Coihaique,CL,-45.5752,-72.0662,44.55,93,90,6.91,moderate rain
227,Nemuro,JP,43.3236,145.575,66.63,78,20,7.54,few clouds
228,Meybod,IR,32.2501,54.0166,69.82,41,0,7.18,clear sky
229,Anadyr,RU,64.75,177.4833,54.1,37,0,35.01,clear sky
230,Kigoma,TZ,-4.8769,29.6267,71.55,77,66,3.51,light rain
231,Kodiak,US,57.79,-152.4072,54.91,62,1,6.91,clear sky
232,Kloulklubed,PW,7.0419,134.2556,84.7,74,31,11.14,scattered clouds
233,Betioky,MG,-23.7167,44.3833,58.96,86,0,2.82,clear sky
234,San Jeronimo,PE,-11.9472,-75.2829,46.18,78,100,3.42,overcast clouds
235,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,5.75,clear sky
236,Bilma,NE,18.6853,12.9164,82.96,9,3,3.42,clear sky
237,Torbay,CA,47.6666,-52.7314,50.77,93,90,16.11,light rain
238,Matata,NZ,-37.8833,176.75,66.52,49,24,5.5,few clouds
239,Seoul,KR,37.5683,126.9778,62.11,88,90,9.82,overcast clouds
240,Henties Bay,NA,-22.116,14.2845,66.15,61,4,4.74,clear sky
241,Westport,US,41.1415,-73.3579,73.18,87,40,3.0,scattered clouds
242,Waingapu,ID,-9.6567,120.2641,84.4,67,73,18.45,broken clouds
243,Kourou,GF,5.1552,-52.6478,78.85,94,100,6.78,moderate rain
244,Penzance,GB,50.1186,-5.5371,48.76,81,55,4.76,broken clouds
245,Kirakira,SB,-10.4544,161.9205,82.36,64,100,11.16,overcast clouds
246,Toora-Khem,RU,52.4675,96.11,52.95,66,94,2.89,overcast clouds
247,Mattru,SL,7.6244,-11.8332,74.71,97,88,0.85,overcast clouds
248,Touros,BR,-5.1989,-35.4608,74.3,86,37,12.01,scattered clouds
249,Souillac,MU,-20.5167,57.5167,71.98,94,75,3.65,broken clouds
250,Topolovgrad,BG,42.0833,26.3333,55.65,97,100,5.06,overcast clouds
251,Cotonou,BJ,6.3654,2.4183,82.38,89,40,11.5,scattered clouds
252,Ostrovnoy,RU,68.0531,39.5131,37.24,68,27,7.87,scattered clouds
253,Bow Island,CA,49.8668,-111.3684,61.18,60,25,11.5,scattered clouds
254,Yellowknife,CA,62.456,-114.3525,50.56,32,90,7.0,overcast clouds
255,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,80,8.12,broken clouds
256,Bengkulu,ID,-3.8004,102.2655,85.06,65,45,2.95,scattered clouds
257,Odweyne,SO,9.4092,45.064,70.14,64,100,11.23,overcast clouds
258,Lagoa,PT,39.05,-27.9833,58.93,66,100,13.69,overcast clouds
259,Burgeo,CA,47.6167,-57.6152,43.97,98,99,7.94,overcast clouds
260,Kashi,CN,39.4547,75.9797,74.41,20,0,3.29,clear sky
261,Abu Zabad,SD,12.35,29.25,84.02,44,76,7.2,broken clouds
262,Grindavik,IS,63.8424,-22.4338,45.07,76,75,28.3,broken clouds
263,Abu Kamal,SY,34.4506,40.9171,81.16,17,0,5.77,clear sky
264,Salinas,US,36.6777,-121.6555,73.47,75,75,11.5,broken clouds
265,Camacupa,AO,-12.0167,17.4833,49.33,59,0,3.6,clear sky
266,Kormilovka,RU,55.0026,74.1028,56.95,64,0,19.08,clear sky
267,Pochutla,MX,15.7432,-96.4661,84.02,77,89,3.58,overcast clouds
268,Lenger,KZ,42.183,69.8839,72.84,52,97,6.89,overcast clouds
269,Sioux Lookout,CA,50.1001,-91.917,35.98,55,20,3.44,few clouds
270,Vestmannaeyjar,IS,63.4427,-20.2734,44.01,81,28,23.82,scattered clouds
271,Itarema,BR,-2.9248,-39.9167,79.12,82,43,13.11,scattered clouds
272,Niksar,TR,40.5917,36.9517,52.18,71,0,3.24,clear sky
273,Sibiti,CG,-3.6819,13.3499,68.79,97,99,2.04,overcast clouds
274,Palmas,BR,-10.2128,-48.3603,71.47,78,0,3.44,clear sky
275,Saint-Jerome,CA,45.7804,-74.0036,71.08,71,40,12.46,scattered clouds
276,Tiksi,RU,71.6872,128.8694,37.65,88,16,3.69,few clouds
277,Dzhebariki-Khaya,RU,62.2167,135.8,61.92,42,46,3.38,scattered clouds
278,Xichang,CN,27.8964,102.2634,60.06,68,100,1.16,overcast clouds
279,Luanda,AO,-8.8368,13.2343,71.98,86,3,8.57,clear sky
280,Fairbanks,US,64.8378,-147.7164,66.16,32,90,8.05,overcast clouds
281,Tual,ID,-5.6667,132.75,81.59,73,68,24.0,broken clouds
282,Bilaspur,IN,22.0833,82.15,86.11,51,100,8.3,overcast clouds
283,Luzhou,CN,28.8724,105.4405,68.02,85,100,2.08,overcast clouds
284,Bac Lieu,VN,9.285,105.7244,80.4,82,100,9.08,overcast clouds
285,Kysyl-Syr,RU,63.8986,122.7617,61.14,57,100,9.62,overcast clouds
286,Saldanha,ZA,-33.0117,17.9442,53.65,85,100,1.48,overcast clouds
287,Cortez,US,37.3489,-108.5859,68.76,18,1,0.0,clear sky
288,Sohag,EG,26.557,31.6948,77.29,23,0,8.55,clear sky
289,Boffa,GN,10.1667,-14.0333,78.58,84,71,3.29,broken clouds
290,Erenhot,CN,43.6475,111.9767,51.26,63,100,31.47,overcast clouds
291,Kaabong,UG,3.4836,34.1492,62.67,75,80,9.19,broken clouds
292,Sinyavino,RU,59.9078,31.0711,47.91,84,99,5.79,overcast clouds
293,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.91,86,82,9.46,broken clouds
294,Vardo,NO,70.3705,31.1107,39.38,79,81,16.75,broken clouds
295,Port-Gentil,GA,-0.7193,8.7815,79.11,85,100,12.35,overcast clouds
296,Sept-Iles,CA,50.2001,-66.3821,46.92,98,90,2.3,overcast clouds
297,Luderitz,NA,-26.6481,15.1594,61.77,69,56,5.75,broken clouds
298,Umea,SE,63.8284,20.2597,44.53,61,0,10.36,clear sky
299,Totness,SR,5.8833,-56.3167,77.07,90,100,10.2,overcast clouds
300,Mount Isa,AU,-20.7333,139.5,71.37,21,2,13.8,clear sky
301,Panzhihua,CN,26.5851,101.7128,69.12,69,100,2.21,overcast clouds
302,Floro,NO,61.5996,5.0328,49.96,66,3,3.44,clear sky
303,Cap-Aux-Meules,CA,47.3821,-61.8597,66.25,68,75,21.85,broken clouds
304,Acarau,BR,-2.8856,-40.12,78.91,83,51,13.38,broken clouds
305,Johnstown,US,40.3267,-78.922,70.9,92,90,11.5,overcast clouds
306,Tautira,PF,-17.7333,-149.15,82.42,73,65,7.07,broken clouds
307,Sorong,ID,-0.8833,131.25,84.56,71,100,8.75,overcast clouds
308,Mendeleyevo,RU,56.0333,37.2167,58.68,94,75,4.7,broken clouds
309,Mazagao,BR,-0.115,-51.2894,77.05,94,69,3.4,broken clouds
310,Half Moon Bay,US,37.4636,-122.4286,71.73,75,90,1.01,overcast clouds
311,Katherine,AU,-14.4667,132.2667,82.72,28,0,17.31,clear sky
312,Mongo,TD,12.1844,18.693,82.09,32,70,7.02,broken clouds
313,Te Anau,NZ,-45.4167,167.7167,49.73,77,100,5.88,overcast clouds
314,Geraldton,AU,-28.7667,114.6,70.12,32,97,12.73,overcast clouds
315,Fiditi,NG,7.7136,3.9172,74.3,97,97,5.48,overcast clouds
316,Rio Grande,BR,-32.035,-52.0986,56.12,75,100,9.64,overcast clouds
317,Liberty,US,31.8335,-81.5004,80.71,43,1,1.01,clear sky
318,Monrovia,LR,6.3005,-10.7969,76.77,85,50,5.55,light rain
319,Okakarara,NA,-20.5833,17.4333,49.46,52,0,4.52,clear sky
320,Posse,BR,-14.0931,-46.3694,69.91,53,69,5.46,broken clouds
321,Chiredzi,ZW,-21.05,31.6667,51.44,49,0,3.02,clear sky
322,Wewak,PG,-3.5534,143.6268,84.88,71,92,2.08,overcast clouds
323,Mamallapuram,IN,12.6264,80.1722,86.05,58,11,15.23,few clouds
324,Puri,IN,19.8,85.85,82.92,67,100,11.86,overcast clouds
325,Barabinsk,RU,55.3571,78.357,58.08,62,8,18.86,clear sky
326,Saint-Joseph,RE,-21.3667,55.6167,68.38,81,10,0.45,clear sky
327,Rundu,NA,-17.9333,19.7667,50.61,53,0,5.32,clear sky
328,Broome,US,42.2506,-75.833,68.38,96,90,1.99,overcast clouds
329,Esperance,AU,-33.8667,121.9,60.64,54,100,18.43,overcast clouds
330,Kingman,US,35.1894,-114.053,87.3,10,1,9.66,clear sky
331,Taoudenni,ML,22.6783,-3.9836,92.75,21,100,2.26,overcast clouds
332,Kisangani,CD,0.5167,25.2,73.8,84,100,1.79,overcast clouds
333,Agapovka,RU,53.2973,59.1348,58.21,52,0,8.95,clear sky
334,Jiuquan,CN,39.7432,98.5174,73.36,13,68,9.22,broken clouds
335,Shushtar,IR,32.0455,48.8567,82.26,22,0,1.74,clear sky
336,Mumford,GH,5.2618,-0.759,79.12,88,97,8.77,light rain
337,Nanfeng,CN,23.7434,111.7959,86.31,76,58,1.79,broken clouds
338,Mandan,US,46.8267,-100.8896,47.98,81,75,3.44,light rain
339,Zahvizdya,UA,48.9184,24.6528,48.92,93,1,2.19,clear sky
340,Yanam,IN,16.7333,82.2167,90.0,44,82,10.07,broken clouds
341,Zhanjiang,CN,21.2815,110.3427,88.05,70,43,12.77,light rain
342,Xinqing,CN,48.2333,129.5,64.9,32,87,1.48,light rain
343,Rincon,US,32.296,-81.2354,80.56,65,75,5.57,broken clouds
344,Pembroke,CA,45.8168,-77.1162,66.18,65,100,11.97,overcast clouds
345,Aykhal,RU,66.0,111.5,53.08,48,100,7.49,overcast clouds
346,Ust-Nera,RU,64.5667,143.2,50.9,51,100,6.55,overcast clouds
347,Qaqortoq,GL,60.7167,-46.0333,34.3,92,100,5.3,overcast clouds
348,Oktyabrskiy,RU,54.4815,53.471,51.15,79,0,5.44,clear sky
349,Wagar,SD,16.1525,36.2032,88.66,26,4,4.34,clear sky
350,Padang,ID,-0.9492,100.3543,84.25,69,100,1.21,overcast clouds
351,Kavieng,PG,-2.5744,150.7967,81.09,83,100,10.65,light rain
352,Savannah Bight,HN,16.45,-85.85,82.0,82,65,19.28,broken clouds
353,Egvekinot,RU,66.3167,-179.1667,42.66,45,0,17.36,clear sky
354,Banjar,ID,-8.19,114.9675,84.06,59,7,2.46,clear sky
355,Dosso,NE,13.049,3.1937,94.62,23,90,11.3,overcast clouds
356,Astoria,US,46.1879,-123.8313,64.09,75,1,1.01,clear sky
357,Makakilo City,US,21.3469,-158.0858,82.15,62,20,13.8,few clouds
358,Praia,CV,14.9215,-23.5087,70.34,83,20,17.27,few clouds
359,San Ramon,US,37.7799,-121.978,76.28,57,1,5.01,clear sky
360,San Andres,CO,12.5847,-81.7006,82.42,83,40,11.5,scattered clouds
361,Santa Rosa,PH,14.3122,121.1114,91.38,68,76,5.48,broken clouds
362,Kruisfontein,ZA,-34.0033,24.7314,53.6,79,100,5.37,overcast clouds
363,Utinga,BR,-5.8172,-35.3954,75.6,88,20,4.61,few clouds
364,Shelburne,CA,44.0787,-80.2041,57.27,75,96,15.88,overcast clouds
365,Teya,RU,60.3778,92.6267,46.08,51,100,5.86,overcast clouds
366,Port Moresby,PG,-9.4431,147.1797,85.42,54,40,11.5,scattered clouds
367,Mossendjo,CG,-2.9506,12.7261,69.62,100,100,1.74,overcast clouds
368,Codrington,AU,-38.2667,141.9667,55.63,79,100,17.11,overcast clouds
