City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Rawah,IQ,81.1,clear sky,34.4816,41.9093,ديوان الشيخ نامق محسن الراوي
162,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
164,Trat,TH,85.24,overcast clouds,12.5,102.5,สวนหนิง-อัศ
167,Saint-Georges,GD,79.61,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
168,Pokhara,NP,70.43,overcast clouds,28.2333,83.9833,Butterfly Lodge
169,Galle,LK,80.89,overcast clouds,6.0367,80.217,Amangalla
182,Panama City,PA,84.06,broken clouds,8.9936,-79.5197,Hotel Riande Granada Urban
183,Bontang,ID,84.74,scattered clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
184,Naze,JP,79.72,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
186,Arraial Do Cabo,BR,72.01,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
187,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
189,Lashio,MM,76.62,overcast clouds,22.9333,97.75,Hotel CF Lashio - Burmese Only
191,Salalah,OM,80.69,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
192,Saint George,US,87.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
195,Natchez,US,78.24,clear sky,31.5604,-91.4032,Hampton Inn & Suites Natchez
198,Kupang,ID,86.58,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
199,Grand Gaube,MU,72.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
200,Mayumba,GA,77.54,overcast clouds,-3.432,10.6554,LIKWALE LODGE
205,Mareeba,AU,77.49,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
208,Turbat,PK,89.64,clear sky,26.0023,63.044,Mubashar Quarters
209,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
212,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
215,Vanimo,PG,86.85,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
217,Sakakah,SA,74.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
222,Komsomolskiy,UZ,76.42,few clouds,40.4272,71.7189,Ikathouse
230,Kigoma,TZ,71.55,light rain,-4.8769,29.6267,MJI Mwema Lodge
232,Kloulklubed,PW,84.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
236,Bilma,NE,82.96,clear sky,18.6853,12.9164,Expeditions Ténére voyages
241,Westport,US,73.18,scattered clouds,41.1415,-73.3579,The Westport Inn
242,Waingapu,ID,84.4,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
243,Kourou,GF,78.85,moderate rain,5.1552,-52.6478,Lodge Takini 4
245,Kirakira,SB,82.36,overcast clouds,-10.4544,161.9205,SanBiz Lodge
247,Mattru,SL,74.71,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
248,Touros,BR,74.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
249,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
251,Cotonou,BJ,82.38,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
256,Bengkulu,ID,85.06,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
257,Odweyne,SO,70.14,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
260,Kashi,CN,74.41,clear sky,39.4547,75.9797,帕米尔青年旅舍
261,Abu Zabad,SD,84.02,broken clouds,12.35,29.25,حامد محمد نور
263,Abu Kamal,SY,81.16,clear sky,34.4506,40.9171,محطة التلفاز
264,Salinas,US,73.47,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
267,Pochutla,MX,84.02,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
268,Lenger,KZ,72.84,overcast clouds,42.183,69.8839,Gostevoy Dom 1
271,Itarema,BR,79.12,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
274,Palmas,BR,71.47,clear sky,-10.2128,-48.3603,Hotel Lago da Palma
275,Saint-Jerome,CA,71.08,scattered clouds,45.7804,-74.0036,Comfort Inn & Suites
279,Luanda,AO,71.98,clear sky,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
281,Tual,ID,81.59,broken clouds,-5.6667,132.75,Grand Vilia Hotel
282,Bilaspur,IN,86.11,overcast clouds,22.0833,82.15,Hotel East Park
284,Bac Lieu,VN,80.4,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
288,Sohag,EG,77.29,clear sky,26.557,31.6948,Civil Registry - Sohag 1
289,Boffa,GN,78.58,broken clouds,10.1667,-14.0333,Hôtel Niara Belly
293,Sao Joao Da Barra,BR,72.91,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
295,Port-Gentil,GA,79.11,overcast clouds,-0.7193,8.7815,Fengshui Residence
299,Totness,SR,77.07,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
300,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
304,Acarau,BR,78.91,broken clouds,-2.8856,-40.12,castelo pizzaria
305,Johnstown,US,70.9,overcast clouds,40.3267,-78.922,Holiday Inn Johnstown-Downtown
306,Tautira,PF,82.42,broken clouds,-17.7333,-149.15,Pension Oaoa
307,Sorong,ID,84.56,overcast clouds,-0.8833,131.25,waigo splash hotel
309,Mazagao,BR,77.05,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
310,Half Moon Bay,US,71.73,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
311,Katherine,AU,82.72,clear sky,-14.4667,132.2667,Pine Tree Motel
312,Mongo,TD,82.09,broken clouds,12.1844,18.692999999999998,Résidences du Programme FIDA
314,Geraldton,AU,70.12,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
315,Fiditi,NG,74.3,overcast clouds,7.7136,3.9172,"FBC Guest House, Fiditi"
317,Liberty,US,80.71,clear sky,31.8335,-81.5004,Sasser Trailer Park
318,Monrovia,LR,76.77,light rain,6.3005,-10.7969,Sunset Inn
322,Wewak,PG,84.88,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
323,Mamallapuram,IN,86.05,few clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
324,Puri,IN,82.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
330,Kingman,US,87.3,clear sky,35.1894,-114.053,Rodeway Inn Kingman Route 66
332,Kisangani,CD,73.8,overcast clouds,0.5167,25.2,Grand Ramela Hotel
334,Jiuquan,CN,73.36,broken clouds,39.7432,98.5174,Jiuquan Hotel
335,Shushtar,IR,82.26,clear sky,32.0455,48.8567,چاپ یاس کبود
336,Mumford,GH,79.12,light rain,5.2618,-0.759,Spanish Villa
337,Nanfeng,CN,86.31,broken clouds,23.7434,111.7959,Nanfeng Hotel
340,Yanam,IN,90.0,broken clouds,16.7333,82.2167,The Regency Hotel
341,Zhanjiang,CN,88.05,light rain,21.2815,110.3427,创业旅店
343,Rincon,US,80.56,broken clouds,32.296,-81.2354,Days Inn Rincon
350,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
351,Kavieng,PG,81.09,light rain,-2.5744,150.7967,Nusa Island Retreat
352,Savannah Bight,HN,82.0,broken clouds,16.45,-85.85,Villa on Dunbar Rock
354,Banjar,ID,84.06,clear sky,-8.19,114.9675,The Hamsa Resort
357,Makakilo City,US,82.15,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
358,Praia,CV,70.34,few clouds,14.9215,-23.5087,LT Aparthotel
359,San Ramon,US,76.28,clear sky,37.7799,-121.978,San Ramon Marriott
360,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
363,Utinga,BR,75.6,few clouds,-5.8172,-35.3954,Espaço de Lazer Érica Fernandes
366,Port Moresby,PG,85.42,scattered clouds,-9.4431,147.1797,Lamana Hotel
371,Riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
372,Karratha,AU,77.49,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
373,Teshie,GH,82.96,scattered clouds,5.5836,-0.1072,Adinkra Lodge
377,Cedar City,US,70.77,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
379,Alofi,NU,76.89,light rain,-19.0595,-169.9187,Taloa Heights
382,Manggar,ID,85.12,scattered clouds,-2.8833,108.2667,Guest Hotel
385,Chino Valley,US,77.16,clear sky,34.7575,-112.4538,Primrose Inn & Suites
386,Vao,NC,71.76,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
387,Bam,IR,79.18,clear sky,29.105999999999998,58.357,Bam Tourist Hotel
389,Salinopolis,BR,78.93,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
394,Fougamou,GA,74.62,overcast clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
395,Puerto Escondido,MX,85.03,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
397,Nicoya,CR,78.35,moderate rain,10.1483,-85.45200000000001,Guayacan Real
399,Pucallpa,PE,74.79,scattered clouds,-8.3791,-74.5539,Hospedaje Komby
401,Hit,IQ,82.06,clear sky,33.6416,42.8251,صالون زيرو
402,Mozarlandia,BR,78.84,scattered clouds,-14.7447,-50.5706,Hotel Santa Mônica
404,Tiruchchendur,IN,79.09,overcast clouds,8.4833,78.1167,Hotel Udhayam International
409,San Joaquin,US,85.51,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
414,Belmonte,BR,72.1,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
415,Najran,SA,72.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
417,Radhanpur,IN,87.04,few clouds,23.8333,71.6,YASH HOTEL
418,Carolina,PR,80.76,scattered clouds,18.3808,-65.9574,Motel Fantasy Star
421,Bhatkal,IN,82.69,overcast clouds,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
423,Mbandaka,CD,70.14,overcast clouds,0.0487,18.2603,Guest House Epervier
425,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
426,Todos Santos,MX,88.3,overcast clouds,23.45,-110.2167,Hotel California Todos Santos
428,Saiha,IN,86.34,broken clouds,22.4833,92.9667,"Circuit House, Siaha"
429,Kudahuvadhoo,MV,84.24,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
431,Ternate,ID,85.19,few clouds,0.8,127.4,Grand Dafam Bela Ternate
432,Portland,US,72.18,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
436,Barka Kana,IN,76.84,overcast clouds,23.6167,85.4833,Rajesh Tea Shop
438,Port Hedland,AU,82.45,broken clouds,-20.3167,118.5667,The Esplanade Hotel
439,Osoyoos,CA,74.79,overcast clouds,49.0331,-119.4524,Watermark Beach Resort Hotel
442,Sal Rei,CV,72.16,clear sky,16.1833,-22.9167,Marine Club Beach Resort
444,Sechura,PE,71.15,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
448,Majene,ID,86.23,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
449,Tshela,CD,71.44,overcast clouds,-4.9833,12.9333,Hotel Mirador
453,Puerto Madero,MX,82.6,broken clouds,14.7208,-92.4215,Hotel La Central
454,Dwarka,IN,84.9,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
455,Mataram,ID,88.61,few clouds,-8.5833,116.1167,Hotel Santika Mataram
457,Puerto Quijarro,BO,75.58,few clouds,-17.7833,-57.7667,Hotel palance
465,Kuching,MY,88.02,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
468,Dawson,US,80.02,broken clouds,31.7735,-84.4466,Country Hearth Inn & Suites Dawson
469,Owando,CG,73.13,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
470,Atambua,ID,83.98,clear sky,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
471,Ratnagiri,IN,84.76,overcast clouds,16.9833,73.3,Hotel Landmark
474,Poum,NC,73.04,clear sky,-20.2333,164.0167,Gîte kajeon
475,Porto Velho,BR,75.25,light rain,-8.7619,-63.9039,Hotel Central
477,Banda Aceh,ID,80.76,overcast clouds,5.5577,95.3222,Sulthan Hotel International
479,Denpasar,ID,83.86,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
487,Khandbari,NP,70.18,light rain,27.3747,87.2039,Sainik Hotel And Lodge
493,Mackay,AU,83.68,clear sky,-21.15,149.2,International Lodge Motel
496,Prainha,BR,77.14,broken clouds,-1.8,-53.48,Casa Rocha
498,Labuhan,ID,86.11,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
504,Cheney,US,70.14,broken clouds,47.4874,-117.5758,"Holiday Inn Express & Suites Cheney, an IHG Hotel"
506,Bamako,ML,84.61,light rain,12.65,-8.0,Hôtel l’Amitié Bamako
509,Kankakee,US,72.05,clear sky,41.15,-87.8667,Fairfield Inn by Marriott Kankakee Bourbonnais
512,Da Nang,VN,89.58,scattered clouds,16.0678,108.2208,Sun River Hotel
516,Tura,IN,75.49,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
519,Meulaboh,ID,78.4,overcast clouds,4.1363,96.1285,Kost Pria
524,Bodden Town,KY,81.93,few clouds,19.2833,-81.25,Will T Place
532,Fuyang,CN,82.67,broken clouds,32.9,115.8167,Fuyang Wanda Realm Hotel
536,Takoradi,GH,78.91,light rain,4.8845,-1.7554,Raybow International Hotel
538,Springdale,US,75.33,clear sky,36.1867,-94.1288,Springdale Inn
543,Dzilam Gonzalez,MX,78.6,overcast clouds,21.2833,-88.9333,posadas
544,Russell,US,76.23,clear sky,32.3502,-85.1999,Macs
545,Eirunepe,BR,73.58,broken clouds,-6.6603,-69.8736,Atrás de você
546,Hobyo,SO,78.08,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
550,Aloleng,PH,88.5,broken clouds,16.1307,119.7824,Agno Umbrella Rocks
551,Ankang,CN,73.65,overcast clouds,32.68,109.0172,安琪酒店
552,Camana,PE,70.27,overcast clouds,-16.6228,-72.7111,Hostal Morales
553,Summerville,US,78.91,few clouds,33.0185,-80.1757,Sleep Inn Summerville-Charleston
558,Progreso,MX,82.51,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
566,Lakeway,US,81.73,scattered clouds,30.3638,-97.9796,Lakeway Resort and Spa
568,Lancaster,US,70.43,overcast clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
569,Nhulunbuy,AU,84.81,few clouds,-12.2333,136.7667,East Arnhem Real Estate
572,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
578,Havelock,US,76.01,scattered clouds,34.8791,-76.9013,Sherwood Motel
582,Olmos,PE,71.29,clear sky,-5.9847,-79.7453,Hospedaje El Olmo
583,Katiola,CI,77.63,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
584,Susangerd,IR,77.02,clear sky,31.5608,48.1831,دفتر خدمات هوایی وجهانگردی نسیم گستر دشت آزادگان
585,Simplicio Mendes,BR,73.22,clear sky,-7.8539,-41.9103,Fidalgo
586,Dhidhdhoo,MV,82.9,broken clouds,6.8833,73.1,Dhidhoo beach
588,Pauini,BR,77.56,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
595,Pampa,US,73.54,scattered clouds,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
598,Bluefield,US,71.44,clear sky,37.2698,-81.2223,Economy Inn
600,Baracoa,CU,78.19,broken clouds,20.3467,-74.4958,Hostal Rio Miel
601,Bafq,IR,76.01,clear sky,31.6128,55.4107,Alamdar Hotel
604,Varca,IN,85.44,overcast clouds,15.2167,73.9167,"Taj Exotica Resort & Spa, Goa"
605,Kavaratti,IN,83.43,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
607,Garissa,KE,72.36,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
608,Jalu,LY,75.49,clear sky,29.0331,21.5482,صاحبة الفخامة
611,Kailua,US,83.61,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
614,Cap Malheureux,MU,72.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
617,Pipri,IN,82.83,broken clouds,19.8,75.5333,Sukhana River nilu and rushi home
619,Yining,CN,78.64,broken clouds,29.0361,114.5636,Xiushui Hotel
620,Kendari,ID,85.12,broken clouds,-3.945,122.4989,Hotel Wixel
621,Iberia,US,78.87,clear sky,29.9502,-91.7507,back to back rv park
623,Ayorou,NE,86.16,scattered clouds,14.7308,0.9174,Hotel Amenokal
625,Caravelas,BR,71.83,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
627,Millinocket,US,78.91,few clouds,45.6573,-68.7098,Katahdin Inn & Suites
629,Pyapon,MM,87.21,overcast clouds,16.2833,95.6833,Aung Naing Thu Motel
632,Jardim,BR,71.46,overcast clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
633,Lufilufi,WS,86.79,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
634,Honiara,SB,85.12,broken clouds,-9.4333,159.95,Heritage Park Hotel
638,Carmen,MX,84.02,scattered clouds,18.6333,-91.8333,Hotel Lossandes
639,Puerto Colombia,CO,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
643,Sibolga,ID,84.33,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
647,Kieta,PG,80.64,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
650,Kodinar,IN,84.85,overcast clouds,20.7903,70.7031,residency of N.B vadhel
656,Tefe,BR,73.63,scattered clouds,-3.3542,-64.7114,Aracati Hotel
658,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Bungalow 63
662,Mango,US,79.86,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
664,Palembang,ID,84.29,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
667,Beyneu,KZ,85.82,broken clouds,45.3167,55.2,NUR
672,Shu,KZ,75.36,overcast clouds,43.5983,73.7614,Shyngyzkhan
677,Guarapari,BR,73.29,few clouds,-20.6667,-40.4975,Hotel Porto do Sol
680,Dingle,PH,89.92,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
691,Charters Towers,AU,79.63,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
694,Dawlatabad,AF,86.65,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
695,Korla,CN,82.87,overcast clouds,41.7597,86.1469,Gulisitan Hotel
701,Rockland,US,72.73,overcast clouds,41.1668,-74.0496,National Camp Association
